Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorus,Fertilizer,Location,pH
28.35,59.12,59.0,Black,Rice,114,62,33,Compost,Belagavi,7.01
25.41,88.77,95.0,Red,Rice,82,62,39,NPK,Uttara Kannada,5.69
25.78,40.78,30.0,Red,Coffee,48,57,16,Farmyard Manure,Vijayapura,5.76
35.56,64.04,40.6,Red,Maize,86,36,30,Compost,Belagavi,5.86
27.66,72.05,21.3,Black,Jowar,38,32,22,NPK,Kolar,7.33
28.84,39.99,40.0,Red,Rice,103,66,45,Compost,Belagavi,6.07
29.5,64.32,20.4,Laterite,Jowar,40,23,21,MOP,Belagavi,5.63
24.8,82.17,88.07,Sandy,Maize,45,45,39,Urea,Mangaluru,6.68
37.49,44.06,53.61,Clay,Rice,76,71,53,NPK,Vijayapura,6.62
23.94,71.11,68.4,Laterite,Coffee,48,64,18,Farmyard Manure,Uttara Kannada,4.98
29.63,32.87,19.21,Laterite,Jowar,35,32,16,NPK,Vijayapura,5.62
22.9,51.54,21.18,Clay,Jowar,51,42,22,Compost,Chikkamagaluru,6.4
19.5,76.84,77.38,Red,Maize,94,43,40,NPK,Mysuru,6.14
26.93,61.46,37.09,Laterite,Jowar,37,43,16,NPK,Hassan,5.74
31.61,47.68,44.31,Red,Maize,78,55,32,Compost,Belagavi,6.42
29.84,56.76,25.58,Sandy,Jowar,34,38,12,Urea,Chikkamagaluru,6.92
24.96,66.86,38.91,Red,Ragi,32,40,26,NPK,Bengaluru,6.29
24.14,71.16,53.34,Clay,Jowar,49,36,16,Urea,Hassan,6.17
32.73,54.76,5.95,Black,Groundnut,32,51,47,DAP,Davangere,8.31
27.89,42.17,36.35,Sandy,Groundnut,30,51,52,DAP,Chikkamagaluru,7.42
26.35,61.2,35.86,Laterite,Groundnut,26,33,60,DAP,Bengaluru,5.75
23.76,58.16,23.23,Laterite,Sunflower,63,58,41,NPK,Mysuru,4.82
26.45,58.96,27.24,Red,Sunflower,51,94,19,DAP,Davangere,5.52
32.2,51.07,27.82,Laterite,Sunflower,49,67,31,Compost,Chikkamagaluru,5.24
23.92,56.49,40.0,Black,Rice,106,83,34,NPK,Hubballi-Dharwad,7.07
26.05,67.17,94.62,Clay,Sugarcane,123,103,39,Farmyard Manure,Hassan,6.39
26.29,79.98,44.71,Laterite,Maize,66,33,20,DAP,Tumakuru,6.12
30.97,65.01,45.18,Laterite,Jowar,51,41,24,Compost,Mysuru,5.91
33.4,49.38,35.77,Sandy,Jowar,52,36,16,NPK,Bengaluru,7.15
25.61,64.77,19.25,Clay,Maize,87,31,34,MOP,Mysuru,7.06
19.51,80.7,95.0,Laterite,Coffee,38,64,23,Farmyard Manure,Mangaluru,6.02
30.06,53.09,41.9,Red,Sunflower,63,71,29,Compost,Davangere,6.24
22.48,72.71,82.37,Sandy,Tur,32,18,24,NPK,Dakshina Kannada,6.83
27.6,46.22,40.78,Clay,Coffee,54,63,19,Farmyard Manure,Raichur,6.03
27.89,77.14,44.45,Red,Jowar,63,38,24,NPK,Uttara Kannada,5.99
26.99,48.9,45.85,Clay,Coffee,44,64,22,Farmyard Manure,Vijayapura,6.89
32.58,42.0,9.98,Red,Ragi,42,24,28,NPK,Raichur,5.94
28.2,58.7,11.73,Black,Ragi,30,33,16,NPK,Hubballi-Dharwad,7.18
26.88,44.76,41.31,Clay,Coffee,52,65,14,Farmyard Manure,Vijayapura,7.06
25.66,51.29,65.31,Sandy,Tur,25,13,31,MOP,Kolar,6.56
27.66,61.12,69.58,Sandy,Cotton,69,62,35,NPK,Hassan,6.26
25.09,65.96,52.72,Black,Groundnut,26,49,63,DAP,Bengaluru,6.9
30.83,64.27,46.14,Sandy,Ragi,31,44,15,Compost,Mysuru,7.36
32.03,36.96,19.87,Red,Maize,59,58,45,Urea,Raichur,5.95
27.93,53.73,8.09,Clay,Jowar,57,42,26,NPK,Vijayapura,6.55
31.8,27.26,52.49,Clay,Sugarcane,151,121,37,Farmyard Manure,Raichur,6.14
25.11,86.44,57.69,Black,Jowar,57,46,19,NPK,Mangaluru,7.87
37.14,55.46,40.0,Clay,Rice,81,62,42,Urea,Chitradurga,6.41
28.62,60.36,52.0,Black,Tur,34,38,36,Urea,Chikkamagaluru,7.36
31.04,33.19,26.19,Black,Cotton,64,65,24,NPK,Raichur,7.18
30.23,48.0,24.46,Black,Maize,69,78,33,Compost,Belagavi,7.83
31.67,46.7,32.14,Red,Maize,91,36,48,NPK,Hubballi-Dharwad,6.23
20.52,66.33,92.81,Red,Coffee,46,68,22,Farmyard Manure,Uttara Kannada,5.3
37.85,49.7,56.17,Black,Sugarcane,115,94,42,MOP,Davangere,7.52
26.91,80.06,78.23,Laterite,Groundnut,19,52,69,Urea,Dakshina Kannada,5.75
30.47,45.85,8.05,Clay,Tur,14,37,20,Urea,Vijayapura,6.42
34.71,38.99,56.74,Clay,Rice,89,70,44,NPK,Bidar,6.71
28.43,67.32,60.0,Black,Jowar,51,41,27,NPK,Mandya,6.31
21.42,72.98,44.87,Red,Ragi,16,23,8,Urea,Tumakuru,6.37
30.0,43.57,50.99,Clay,Coffee,38,78,16,Farmyard Manure,Vijayapura,6.66
35.59,36.43,40.0,Clay,Rice,77,73,48,Compost,Kalaburagi,7.05
35.52,48.27,30.37,Sandy,Maize,71,52,24,DAP,Raichur,6.2
32.6,47.51,21.87,Sandy,Tur,28,33,20,NPK,Davangere,6.55
25.51,65.45,67.23,Clay,Sugarcane,141,126,39,Farmyard Manure,Bengaluru,5.57
32.84,45.65,61.3,Clay,Rice,91,48,44,NPK,Raichur,6.92
24.91,56.86,43.6,Sandy,Ragi,62,24,19,NPK,Kolar,6.79
25.66,48.01,23.49,Sandy,Cotton,84,44,36,MOP,Mandya,7.77
34.82,72.46,40.0,Black,Rice,91,75,45,NPK,Chikkamagaluru,6.67
26.23,73.19,20.66,Red,Groundnut,37,48,32,DAP,Kolar,6.39
27.52,71.9,54.35,Sandy,Cotton,46,56,22,Urea,Tumakuru,6.51
27.98,54.99,58.86,Sandy,Maize,74,30,29,MOP,Bengaluru,6.18
23.64,87.11,74.57,Laterite,Coffee,40,59,20,Farmyard Manure,Dakshina Kannada,5.52
35.97,32.16,53.05,Laterite,Maize,90,65,27,Urea,Chikkamagaluru,5.94
35.88,28.59,19.98,Clay,Jowar,54,56,25,NPK,Kalaburagi,6.91
26.29,64.14,35.07,Black,Coffee,60,79,19,Farmyard Manure,Davangere,7.29
26.37,47.4,82.71,Laterite,Coffee,38,82,20,Farmyard Manure,Hubballi-Dharwad,5.46
25.56,83.39,15.0,Laterite,Jowar,34,35,15,Urea,Mysuru,5.38
20.76,46.81,53.7,Laterite,Coffee,53,51,24,Farmyard Manure,Chikkamagaluru,5.75
34.07,41.45,49.53,Sandy,Rice,67,52,42,Urea,Bidar,7.25
29.76,65.85,5.0,Black,Groundnut,46,55,30,DAP,Belagavi,7.18
36.14,33.74,14.01,Clay,Sunflower,56,76,36,NPK,Raichur,5.96
34.46,36.94,5.0,Sandy,Ragi,36,11,15,MOP,Kalaburagi,7.03
32.33,35.35,51.07,Red,Cotton,72,55,35,NPK,Kalaburagi,6.27
34.84,47.37,30.87,Sandy,Tur,30,30,15,Urea,Chitradurga,6.88
30.5,58.94,32.13,Red,Ragi,64,25,23,Urea,Belagavi,5.8
27.41,85.02,47.04,Laterite,Maize,56,68,56,Urea,Chikkamagaluru,5.23
26.6,74.01,45.38,Laterite,Rice,77,54,38,NPK,Tumakuru,5.55
27.69,65.36,21.59,Sandy,Ragi,37,25,25,Compost,Tumakuru,7.15
19.61,58.7,54.23,Laterite,Coffee,45,65,22,Farmyard Manure,Hubballi-Dharwad,5.9
28.83,81.17,62.62,Sandy,Maize,70,60,38,NPK,Uttara Kannada,6.94
29.45,53.08,34.97,Laterite,Jowar,48,38,17,Urea,Mysuru,5.6
31.73,66.4,51.13,Red,Maize,75,31,36,MOP,Tumakuru,6.39
28.1,60.79,33.58,Clay,Jowar,31,25,13,Urea,Kolar,6.68
29.14,47.85,56.14,Black,Coffee,48,54,24,Farmyard Manure,Raichur,7.86
24.89,81.46,81.16,Black,Rice,99,63,48,NPK,Dakshina Kannada,7.4
27.9,76.27,5.0,Red,Jowar,48,28,13,Compost,Chikkamagaluru,6.24
24.78,64.89,21.13,Clay,Maize,88,53,33,NPK,Hassan,6.43
23.28,86.14,48.6,Sandy,Tur,26,22,20,Urea,Uttara Kannada,6.64
34.21,64.82,52.87,Red,Maize,101,50,28,NPK,Tumakuru,5.89
29.74,56.56,12.06,Laterite,Sunflower,74,67,35,Compost,Belagavi,5.24
30.44,59.18,42.77,Black,Groundnut,49,56,72,DAP,Hubballi-Dharwad,7.16
36.75,38.45,6.78,Clay,Tur,29,22,38,NPK,Ballari,6.92
31.57,50.41,34.63,Black,Groundnut,56,47,51,DAP,Davangere,7.45
23.93,62.94,19.97,Sandy,Groundnut,27,24,64,MOP,Tumakuru,6.21
40.76,42.43,63.9,Red,Maize,84,66,45,Urea,Vijayapura,6.24
35.83,35.29,40.0,Clay,Rice,116,49,28,DAP,Bidar,7.08
27.97,62.67,20.24,Sandy,Maize,76,46,18,DAP,Mysuru,6.34
27.96,78.73,68.06,Laterite,Maize,83,27,32,MOP,Mysuru,5.24
30.78,42.97,49.25,Sandy,Ragi,24,11,27,Urea,Kalaburagi,7.0
17.64,63.82,53.13,Clay,Coffee,46,70,20,Farmyard Manure,Chikkamagaluru,6.52
26.61,56.72,54.38,Laterite,Rice,94,59,46,NPK,Bengaluru,5.9
25.76,32.54,11.98,Red,Ragi,32,34,23,NPK,Bidar,5.68
24.52,81.3,78.05,Sandy,Groundnut,35,33,73,DAP,Uttara Kannada,6.88
35.63,41.39,21.11,Sandy,Cotton,76,44,41,MOP,Bidar,6.62
27.01,77.61,61.07,Black,Groundnut,34,45,60,DAP,Uttara Kannada,7.05
32.26,53.8,51.75,Black,Rice,74,58,27,Urea,Davangere,7.82
25.08,54.42,80.33,Clay,Sugarcane,140,130,46,Farmyard Manure,Bengaluru,6.32
32.95,40.63,30.0,Black,Sugarcane,153,119,49,Farmyard Manure,Bidar,7.93
32.37,42.74,22.17,Red,Cotton,76,50,23,Compost,Raichur,6.39
19.85,67.03,50.65,Laterite,Coffee,38,65,22,Farmyard Manure,Hassan,5.24
32.64,45.57,51.72,Red,Rice,55,64,60,Urea,Kalaburagi,6.23
35.9,38.07,36.27,Black,Tur,39,49,22,NPK,Kalaburagi,6.87
24.39,73.23,58.29,Sandy,Maize,69,45,25,NPK,Udupi,6.37
31.15,36.1,5.0,Clay,Cotton,62,80,41,Compost,Raichur,6.28
33.13,50.84,10.26,Sandy,Tur,34,15,29,NPK,Belagavi,6.15
28.95,76.48,84.04,Clay,Rice,95,66,28,DAP,Uttara Kannada,6.83
30.07,31.37,41.33,Clay,Sugarcane,157,114,51,Farmyard Manure,Bidar,6.72
24.24,52.55,40.0,Clay,Rice,91,54,43,Urea,Hassan,6.39
27.16,84.58,60.0,Red,Ragi,28,38,21,NPK,Dakshina Kannada,5.5
25.06,73.58,37.28,Laterite,Ragi,19,17,22,Urea,Udupi,4.64
25.91,88.41,48.19,Clay,Sugarcane,143,129,60,Farmyard Manure,Udupi,7.21
25.65,75.99,87.48,Red,Sugarcane,101,110,58,Urea,Mangaluru,6.07
26.92,71.54,76.83,Black,Sugarcane,134,102,42,Farmyard Manure,Mysuru,7.4
30.16,60.81,47.15,Red,Rice,70,46,27,Urea,Davangere,6.11
31.92,64.21,22.56,Laterite,Maize,88,40,29,Compost,Mysuru,5.87
34.56,58.5,52.86,Black,Cotton,43,53,37,Urea,Hubballi-Dharwad,7.11
24.17,76.6,22.57,Sandy,Ragi,25,21,27,NPK,Belagavi,7.5
26.99,74.04,82.2,Clay,Sugarcane,121,106,36,Farmyard Manure,Dakshina Kannada,6.15
14.27,61.44,48.68,Clay,Coffee,28,52,26,Urea,Kolar,5.86
28.0,39.39,38.09,Clay,Coffee,34,62,19,Farmyard Manure,Kalaburagi,6.89
31.38,49.58,85.95,Red,Rice,92,72,33,Compost,Davangere,5.61
26.02,50.11,52.92,Black,Cotton,64,76,29,Compost,Belagavi,7.21
25.73,67.01,30.16,Black,Tur,32,52,28,Urea,Hubballi-Dharwad,6.94
32.78,67.23,36.34,Clay,Jowar,57,38,19,NPK,Davangere,5.99
26.34,62.79,36.0,Black,Jowar,62,40,25,Compost,Kolar,7.69
29.58,64.0,23.01,Red,Groundnut,30,35,53,DAP,Belagavi,6.11
27.09,53.06,52.42,Laterite,Tur,33,27,13,DAP,Kolar,6.22
31.87,63.02,56.45,Black,Rice,102,63,47,NPK,Belagavi,7.44
29.77,47.55,27.64,Clay,Jowar,57,64,28,Urea,Kalaburagi,6.59
30.71,43.4,18.41,Red,Maize,70,55,20,DAP,Chitradurga,6.14
21.94,74.75,74.61,Laterite,Coffee,33,53,18,Farmyard Manure,Mangaluru,5.4
27.33,77.85,68.44,Red,Maize,68,60,37,Urea,Mysuru,6.34
18.07,84.81,51.32,Laterite,Ragi,29,31,28,Compost,Udupi,5.09
32.56,69.36,30.85,Sandy,Groundnut,34,40,35,DAP,Hassan,7.47
31.29,56.58,41.04,Black,Sugarcane,133,115,52,Farmyard Manure,Davangere,7.56
34.28,52.81,20.01,Sandy,Maize,65,33,27,MOP,Belagavi,6.03
27.85,51.13,50.8,Black,Maize,108,58,34,Compost,Davangere,7.51
24.33,62.93,58.9,Sandy,Tur,26,18,38,NPK,Tumakuru,7.04
27.24,67.78,25.36,Red,Ragi,36,39,21,Urea,Mandya,5.59
33.15,41.24,40.0,Clay,Rice,73,59,40,Urea,Raichur,7.3
31.9,62.91,59.17,Red,Maize,71,49,20,DAP,Hassan,6.05
27.66,80.74,60.0,Black,Jowar,50,49,23,Compost,Udupi,7.19
26.82,59.11,34.68,Laterite,Ragi,46,35,16,NPK,Mysuru,5.55
29.4,53.11,59.93,Clay,Sugarcane,100,128,46,Urea,Ballari,6.76
25.3,65.38,73.16,Red,Maize,82,55,40,Urea,Belagavi,6.4
21.45,66.53,68.38,Laterite,Coffee,52,44,26,MOP,Mandya,5.4
27.97,95.54,73.69,Red,Tur,32,27,27,Compost,Dakshina Kannada,6.07
36.29,30.7,27.45,Black,Jowar,37,42,21,Urea,Bidar,7.86
31.85,62.42,53.54,Black,Jowar,69,48,21,NPK,Mandya,7.35
27.63,58.76,14.13,Sandy,Ragi,45,19,16,NPK,Hubballi-Dharwad,6.32
31.03,56.76,33.74,Red,Sunflower,52,56,27,NPK,Chitradurga,5.47
23.55,87.85,75.66,Clay,Rice,97,71,34,Urea,Mangaluru,6.7
27.19,63.69,14.92,Sandy,Ragi,44,25,13,Compost,Chitradurga,6.05
24.26,84.47,74.87,Clay,Rice,86,69,46,Urea,Mangaluru,7.4
27.25,61.26,33.99,Clay,Tur,32,37,27,NPK,Hassan,6.76
39.72,39.47,38.13,Red,Maize,75,49,32,Compost,Bidar,6.25
27.23,52.18,26.8,Laterite,Jowar,39,41,26,NPK,Mandya,6.42
27.32,61.48,5.0,Red,Ragi,25,17,19,NPK,Kolar,6.3
33.48,55.97,36.0,Black,Sugarcane,137,115,40,Farmyard Manure,Davangere,7.53
25.96,51.14,44.03,Laterite,Groundnut,32,33,60,DAP,Chikkamagaluru,5.24
31.44,59.33,50.16,Black,Groundnut,45,39,61,DAP,Bengaluru,7.52
29.87,76.12,53.45,Red,Maize,54,47,29,Urea,Chikkamagaluru,5.61
32.49,46.01,42.02,Black,Groundnut,32,49,59,DAP,Vijayapura,7.22
34.64,66.65,56.38,Sandy,Groundnut,32,20,41,MOP,Mandya,6.54
26.44,58.85,33.51,Sandy,Ragi,21,33,17,Urea,Bengaluru,6.83
22.99,78.41,86.5,Sandy,Tur,14,11,20,Urea,Uttara Kannada,7.27
26.44,65.65,67.43,Clay,Rice,92,67,39,NPK,Udupi,5.56
28.0,63.8,34.29,Black,Groundnut,25,62,63,DAP,Tumakuru,7.02
30.08,58.35,40.0,Black,Rice,72,66,41,Urea,Davangere,6.64
18.21,81.44,95.0,Sandy,Coffee,29,59,11,Urea,Mangaluru,5.98
31.58,69.17,57.26,Sandy,Maize,68,52,37,Compost,Dakshina Kannada,6.81
29.69,41.2,43.9,Red,Groundnut,30,45,55,DAP,Bidar,6.34
30.3,80.67,43.69,Black,Rice,101,69,28,DAP,Kolar,7.31
37.42,35.25,31.65,Clay,Sugarcane,105,112,45,Farmyard Manure,Bidar,7.16
22.74,76.08,56.07,Clay,Cotton,88,65,37,Urea,Udupi,6.48
27.86,69.44,69.15,Black,Rice,111,65,39,Compost,Tumakuru,7.6
28.83,48.1,84.59,Clay,Coffee,50,64,27,Farmyard Manure,Chitradurga,6.98
22.68,68.37,23.43,Clay,Jowar,55,43,25,NPK,Tumakuru,6.15
23.31,79.13,47.39,Sandy,Jowar,43,39,19,Compost,Udupi,6.61
32.45,39.04,5.0,Red,Tur,22,28,28,NPK,Kalaburagi,6.41
25.38,53.94,36.18,Black,Maize,84,60,30,NPK,Belagavi,7.2
35.51,41.53,44.34,Clay,Cotton,53,52,28,Urea,Kalaburagi,6.09
25.98,76.95,53.32,Laterite,Ragi,20,26,15,Urea,Udupi,5.88
23.9,48.41,24.26,Sandy,Ragi,35,32,20,Compost,Kolar,6.88
26.52,72.56,29.74,Sandy,Ragi,44,23,4,DAP,Kolar,7.37
35.32,37.1,40.0,Clay,Rice,97,85,34,Urea,Kalaburagi,6.34
29.43,58.75,5.0,Laterite,Maize,78,32,24,DAP,Chikkamagaluru,5.99
23.18,69.98,43.08,Laterite,Coffee,30,60,23,Farmyard Manure,Mysuru,5.14
27.41,62.28,95.0,Red,Rice,75,65,44,Compost,Kolar,5.63
30.3,42.8,8.86,Red,Ragi,14,49,18,Urea,Davangere,6.31
36.53,36.14,40.0,Black,Rice,89,68,34,NPK,Raichur,6.59
25.94,55.81,58.24,Black,Maize,85,58,36,Compost,Belagavi,7.3
28.58,51.82,39.47,Sandy,Cotton,73,53,24,Urea,Hubballi-Dharwad,7.14
29.43,92.76,71.49,Clay,Groundnut,31,49,56,DAP,Dakshina Kannada,7.08
30.16,33.42,13.89,Sandy,Ragi,40,17,26,Compost,Kalaburagi,6.52
28.22,59.95,67.83,Black,Rice,109,71,34,Urea,Chikkamagaluru,7.14
27.1,76.29,95.0,Laterite,Rice,59,53,28,Urea,Uttara Kannada,5.33
26.47,81.72,72.01,Clay,Sugarcane,94,125,46,Urea,Uttara Kannada,6.47
25.41,80.25,58.63,Sandy,Jowar,40,34,21,NPK,Uttara Kannada,6.54
26.22,84.32,64.08,Clay,Rice,91,69,52,NPK,Udupi,6.42
33.15,30.74,15.89,Black,Maize,93,42,60,NPK,Raichur,8.1
24.23,79.49,54.92,Laterite,Tur,15,20,34,Urea,Mangaluru,5.8
23.74,70.67,80.15,Clay,Sugarcane,112,116,43,Farmyard Manure,Mysuru,6.85
25.37,66.36,35.05,Clay,Coffee,40,59,15,Farmyard Manure,Hubballi-Dharwad,6.53
30.03,60.68,53.98,Sandy,Maize,72,51,41,Urea,Chitradurga,6.42
34.06,36.47,18.78,Red,Jowar,56,34,7,DAP,Vijayapura,5.59
34.7,31.96,34.99,Black,Maize,89,47,44,NPK,Vijayapura,7.01
28.39,60.22,60.0,Clay,Jowar,70,47,22,Compost,Tumakuru,6.27
32.19,56.1,50.53,Clay,Rice,89,73,46,NPK,Raichur,6.02
29.46,61.53,20.27,Laterite,Jowar,56,32,16,NPK,Belagavi,5.06
34.84,47.99,62.11,Black,Sugarcane,85,113,53,Urea,Vijayapura,7.3
26.03,64.52,51.82,Black,Groundnut,40,61,64,DAP,Bengaluru,7.22
26.05,78.18,73.7,Clay,Maize,94,67,35,Urea,Uttara Kannada,6.42
25.59,65.56,35.4,Black,Maize,98,69,25,NPK,Kolar,6.85
25.39,51.34,28.25,Red,Maize,94,55,36,NPK,Bengaluru,6.45
31.35,68.79,65.03,Sandy,Maize,76,48,32,Compost,Mandya,6.82
25.07,78.61,45.62,Black,Rice,69,56,33,Urea,Kolar,7.28
33.17,31.7,20.87,Sandy,Ragi,32,25,30,Compost,Raichur,6.45
27.52,67.96,94.23,Clay,Cotton,65,53,45,NPK,Mangaluru,5.92
31.29,65.35,60.53,Black,Sugarcane,144,125,42,Farmyard Manure,Bengaluru,6.79
26.92,81.85,19.41,Sandy,Ragi,48,26,20,Urea,Hassan,5.67
